[Name]
Re342 at /LINE:Line 1

[Data]
Z [ m ],Velocity w [ m s^-1 ]
0.00000000e+00, 3.43644555e-04
3.03030312e-01, 3.65433225e-04
6.06060624e-01, 3.96660238e-04
9.09090936e-01, 4.20561468e-04
1.21212125e+00, 4.39740776e-04
1.51515150e+00, 4.56022972e-04
1.81818175e+00, 4.70524246e-04
2.12121201e+00, 4.83320095e-04
2.42424226e+00, 4.95571352e-04
2.72727251e+00, 5.06679062e-04
3.03030276e+00, 5.16932108e-04
3.33333302e+00, 5.26215881e-04
3.63636327e+00, 5.35282539e-04
3.93939352e+00, 5.43374743e-04
4.24242401e+00, 5.50633762e-04
4.54545450e+00, 5.57433581e-04
4.84848499e+00, 5.64624323e-04
5.15151548e+00, 5.70204749e-04
5.45454597e+00, 5.74924052e-04
5.75757647e+00, 5.79413725e-04
6.06060696e+00, 5.85208880e-04
6.36363745e+00, 5.90111886e-04
6.66666794e+00, 5.94260287e-04
6.96969843e+00, 5.97426028e-04
7.27272892e+00, 6.00958942e-04
7.57575941e+00, 6.03069609e-04
7.87878990e+00, 6.07332331e-04
8.18181992e+00, 6.09539333e-04
8.48484993e+00, 6.13385462e-04
8.78787994e+00, 6.16373611e-04
9.09090996e+00, 6.17162557e-04
9.39393997e+00, 6.20670849e-04
9.69696999e+00, 6.22318359e-04
1.00000000e+01, 6.21497224e-04
1.03030300e+01, 6.23361208e-04
1.06060600e+01, 6.23367727e-04
1.09090900e+01, 6.26539113e-04
1.12121201e+01, 6.29677379e-04
1.15151501e+01, 6.31484669e-04
1.18181801e+01, 6.30075810e-04
1.21212101e+01, 6.31148345e-04
1.24242401e+01, 6.33115531e-04
1.27272701e+01, 6.32971292e-04
1.30303001e+01, 6.31530944e-04
1.33333302e+01, 6.36258104e-04
1.36363602e+01, 6.38439378e-04
1.39393902e+01, 6.35984761e-04
1.42424202e+01, 6.36786222e-04
1.45454502e+01, 6.39724371e-04
1.48484802e+01, 6.41018618e-04
1.51515102e+01, 6.39201724e-04
1.54545403e+01, 6.37951889e-04
1.57575703e+01, 6.40318613e-04
1.60606003e+01, 6.41172868e-04
1.63636303e+01, 6.41870487e-04
1.66666603e+01, 6.43014500e-04
1.69696903e+01, 6.40311337e-04
1.72727203e+01, 6.43927488e-04
1.75757504e+01, 6.43000938e-04
1.78787804e+01, 6.41635328e-04
1.81818104e+01, 6.39904058e-04
1.84848404e+01, 6.43968466e-04
1.87878704e+01, 6.43171137e-04
1.90909004e+01, 6.42894593e-04
1.93939304e+01, 6.42493658e-04
1.96969604e+01, 6.42387895e-04
1.99999905e+01, 6.42047031e-04
2.03030205e+01, 6.42147264e-04
2.06060505e+01, 6.41260529e-04
2.09090805e+01, 6.43207750e-04
2.12121105e+01, 6.43254141e-04
2.15151405e+01, 6.42794766e-04
2.18181705e+01, 6.42745988e-04
2.21212006e+01, 6.43036561e-04
2.24242306e+01, 6.45036052e-04
2.27272606e+01, 6.42948202e-04
2.30302906e+01, 6.44143729e-04
2.33333206e+01, 6.44492742e-04
2.36363506e+01, 6.43497217e-04
2.39393806e+01, 6.41526713e-04
2.42424107e+01, 6.44802465e-04
2.45454407e+01, 6.42483414e-04
2.48484707e+01, 6.46705157e-04
2.51515007e+01, 6.47141715e-04
2.54545307e+01, 6.43972948e-04
2.57575607e+01, 6.43202860e-04
2.60605907e+01, 6.45551132e-04
2.63636208e+01, 6.46947825e-04
2.66666508e+01, 6.45655906e-04
2.69696808e+01, 6.47307083e-04
2.72727108e+01, 6.48047659e-04
2.75757408e+01, 6.45494089e-04
2.78787708e+01, 6.45480352e-04
2.81818008e+01, 6.46880886e-04
2.84848309e+01, 6.43658219e-04
2.87878609e+01, 6.46896311e-04
2.90908909e+01, 6.41646213e-04
2.93939209e+01, 6.44781278e-04
2.96969509e+01, 6.47377921e-04
2.99999809e+01, 6.40321407e-04


