[Name]
Re285 at /LINE:Line 1

[Data]
Z [ m ],Velocity w [ m s^-1 ]
0.00000000e+00, 2.86370487e-04
3.03030312e-01, 3.06513131e-04
6.06060624e-01, 3.35427001e-04
9.09090936e-01, 3.57442914e-04
1.21212125e+00, 3.75084026e-04
1.51515150e+00, 3.90036817e-04
1.81818175e+00, 4.03303769e-04
2.12121201e+00, 4.15013579e-04
2.42424226e+00, 4.25971404e-04
2.72727251e+00, 4.35887487e-04
3.03030276e+00, 4.44957957e-04
3.33333302e+00, 4.52948269e-04
3.63636327e+00, 4.60868847e-04
3.93939352e+00, 4.67659847e-04
4.24242401e+00, 4.73392080e-04
4.54545450e+00, 4.78930131e-04
4.84848499e+00, 4.85016615e-04
5.15151548e+00, 4.89369675e-04
5.45454597e+00, 4.92806314e-04
5.75757647e+00, 4.96168504e-04
6.06060696e+00, 5.01014874e-04
6.36363745e+00, 5.04910015e-04
6.66666794e+00, 5.08000783e-04
6.96969843e+00, 5.10159938e-04
7.27272892e+00, 5.12797153e-04
7.57575941e+00, 5.13984880e-04
7.87878990e+00, 5.17437642e-04
8.18181992e+00, 5.18865418e-04
8.48484993e+00, 5.21892856e-04
8.78787994e+00, 5.24114061e-04
9.09090996e+00, 5.24222676e-04
9.39393997e+00, 5.27029624e-04
9.69696999e+00, 5.28098200e-04
1.00000000e+01, 5.26831544e-04
1.03030300e+01, 5.28121658e-04
1.06060600e+01, 5.27702679e-04
1.09090900e+01, 5.30244317e-04
1.12121201e+01, 5.32754872e-04
1.15151501e+01, 5.34088875e-04
1.18181801e+01, 5.32439561e-04
1.21212101e+01, 5.33121347e-04
1.24242401e+01, 5.34584397e-04
1.27272701e+01, 5.34183637e-04
1.30303001e+01, 5.32593811e-04
1.33333302e+01, 5.36641746e-04
1.36363602e+01, 5.38340362e-04
1.39393902e+01, 5.35938481e-04
1.42424202e+01, 5.36471838e-04
1.45454502e+01, 5.38890425e-04
1.48484802e+01, 5.39900910e-04
1.51515102e+01, 5.38030872e-04
1.54545403e+01, 5.36772772e-04
1.57575703e+01, 5.38720516e-04
1.60606003e+01, 5.39351953e-04
1.63636303e+01, 5.39822620e-04
1.66666603e+01, 5.40698355e-04
1.69696903e+01, 5.38191001e-04
1.72727203e+01, 5.41299465e-04
1.75757504e+01, 5.40327921e-04
1.78787804e+01, 5.39022789e-04
1.81818104e+01, 5.37407177e-04
1.84848404e+01, 5.40963432e-04
1.87878704e+01, 5.40163426e-04
1.90909004e+01, 5.39863249e-04
1.93939304e+01, 5.39424538e-04
1.96969604e+01, 5.39270870e-04
1.99999905e+01, 5.38895605e-04
2.03030205e+01, 5.38920693e-04
2.06060505e+01, 5.38106309e-04
2.09090805e+01, 5.39833796e-04
2.12121105e+01, 5.39819244e-04
2.15151405e+01, 5.39384608e-04
2.18181705e+01, 5.39297995e-04
2.21212006e+01, 5.39486995e-04
2.24242306e+01, 5.41172572e-04
2.27272606e+01, 5.39282628e-04
2.30302906e+01, 5.40287758e-04
2.33333206e+01, 5.40516397e-04
2.36363506e+01, 5.39683329e-04
2.39393806e+01, 5.37891756e-04
2.42424107e+01, 5.40756329e-04
2.45454407e+01, 5.38678258e-04
2.48484707e+01, 5.42364549e-04
2.51515007e+01, 5.42694004e-04
2.54545307e+01, 5.39895613e-04
2.57575607e+01, 5.39198809e-04
2.60605907e+01, 5.41241781e-04
2.63636208e+01, 5.42405876e-04
2.66666508e+01, 5.41252200e-04
2.69696808e+01, 5.42678521e-04
2.72727108e+01, 5.43273054e-04
2.75757408e+01, 5.41012152e-04
2.78787708e+01, 5.40988811e-04
2.81818008e+01, 5.42223803e-04
2.84848309e+01, 5.39442350e-04
2.87878609e+01, 5.42232650e-04
2.90908909e+01, 5.37644490e-04
2.93939209e+01, 5.40367153e-04
2.96969509e+01, 5.42637601e-04
2.99999809e+01, 5.36499545e-04


